Ranking,Chinese Name,English Name,LONGITUDE,LATITUDE,"Academic	",Sport,Music,Campus,Teacher,Boarding Fee,School Type,Poi
1,拔萃女小學,Diocesan Girls' Junior School,114.17285,22.30705,10 (10),10 (10),10 (10),9 (9),8 (8),67000,私立,9.54 (9.54)
2,拔萃男書院附屬小學,Diocesan Boys' School Primary Division,114.179,22.3292,9 (9),10 (10),9.5 (9.5),10 (10),9 (9),42750,直資,9.36 (9.36)
3,聖保羅男女中學附屬小學,St. Paul's Co-educational College Primary School,114.17739,22.25239,10 (10),9 (9),10 (10),9 (9),7 (7),60000,直資,9.25 (9.25)
4,喇沙小學,La Salle Primary School,114.1812,22.32753,9 (9),10 (10),8.3 (8.3),9 (9),10 (10),-,資助,9.24 (9.24)
5,德望小學暨幼稚園,Good Hope Primary School cum Kindergarten,114.21873,22.3342,8 (8),10 (10),9.5 (9.5),10 (10),8 (8),39500,私立,8.8 (8.8)
6,九龍塘學校（小學部）,Kowloon Tong School (Primary Section),114.17587,22.32835,9 (9),9 (9),9 (9),8 (8),5 (5),54000,私立,8.55 (8.55)
7,聖保祿學校（小學部）,St. Paul's Convent School (Primary Section),114.18711,22.27865,10 (10),9 (9),8.3 (8.3),8 (8),7 (7),55000,私立,8.53 (8.53)
8,保良局陳守仁小學,P.L.K. Camões Tan Siu Lin Primary School,114.16532,22.31531,10 (10),8 (8),9.5 (9.5),7.5 (7.5),5 (5),18800,直資,8.49 (8.49)
9,英華小學,Ying Wa Primary School,114.15258,22.33042,8 (8),10 (10),10 (10),9 (9),7 (7),18000,直資,8.47 (8.47)
10,油蔴地天主教小學（海泓道）,Yaumati Catholic Primary School (Hoi Wang Road),114.16409,22.31341,9 (9),8 (8),7.8 (7.8),8 (8),7 (7),-,資助,8.32 (8.32)
11,九龍塘宣道小學,"Alliance Primary School, Kowloon Tong",114.17903,22.33017,9 (9),9 (9),9 (9),7 (7),7 (7),48000,私立,8.26 (8.26)
12,瑪利諾修院學校（小學部）,Maryknoll Convent School (Primary Section),114.17907,22.32757,8 (8),9 (9),8 (8),10 (10),8 (8),-,資助,8.24 (8.24)
13,協恩中學附屬小學,Heep Yunn Primary School,114.18532,22.32172,7 (7),10 (10),7.8 (7.8),8 (8),6 (6),-,資助,8.23 (8.23)
14,聖公會德田李兆強小學,S.K.H. Tak Tin Lee Shiu Keung Primary School,114.23704,22.31089,9 (9),8 (8),8.3 (8.3),9 (9),7 (7),-,資助,8.11 (8.11)
15,循道學校,Methodist School,114.17677,22.30854,9 (9),7 (7),8.5 (8.5),8 (8),9 (9),-,資助,8.01 (8.01)
16,瑪利曼小學,Marymount Primary School,114.19054,22.26294,8 (8),8 (8),8.5 (8.5),9 (9),6.5 (6.5),-,資助,7.97 (7.97)
17,聖公會仁立紀念小學,S.K.H. Yan Laap Memorial Primary School,114.12816,22.37002,10 (10),8 (8),7.8 (7.8),8 (8),7 (7),-,資助,7.95 (7.95)
18,大角嘴天主教小學（海帆道）,Tai Kok Tsui Catholic Primary School (Hoi Fan Road),114.15583,22.32223,7 (7),7 (7),9 (9),8 (8),8 (8),-,資助,7.94 (7.94)
19,中華基督教會基灣小學（愛蝶灣）,C.C.C. Kei Wan Primary School (Aldrich Bay),114.226,22.28126,9 (9),6.5 (6.5),8.5 (8.5),6 (6),6.5 (6.5),-,資助,7.93 (7.93)
20,嘉諾撒聖心學校,Sacred Heart Canossian School,114.15352,22.28023,8 (8),9 (9),8 (8),4 (4),10 (10),-,資助,7.91 (7.91)
21,聖士提反女子中學附屬小學,St. Stephen's Girls' Primary School,114.14463,22.28392,8 (8),9 (9),9 (9),4 (4),9 (9),-,資助,7.87 (7.87)
22,香港真光中學（小學部）,The True Light Middle School of Hong Kong (Primary Section),114.19413,22.27584,8 (8),7 (7),7.8 (7.8),10 (10),6 (6),46700,私立,7.86 (7.86)
23,聖方濟各英文小學,St. Francis of Assisi's English Primary School,114.16654,22.33069,9 (9),8 (8),8 (8),4 (4),6.5 (6.5),44000,私立,7.76 (7.76)
24,聖羅撒學校,St. Rose of Lima's School,114.17506,22.3263,10 (10),8 (8),8 (8),5 (5),6.5 (6.5),-,資助,7.73 (7.73)
25,崇真小學暨幼稚園,Tsung Tsin Primary School And Kindergarten,114.16773,22.32908,7 (7),7 (7),8 (8),8 (8),7 (7),53870,私立,7.72 (7.72)
26,嘉諾撒聖瑪利學校,St. Mary's Canossian School,114.1756,22.30292,8 (8),7 (7),8.5 (8.5),7 (7),7 (7),-,資助,7.69 (7.69)
