School Name,LONGITUDE,LATITUDE,School Type
FUK TAK EDUCATION SOCIETY PRIMARY SCHOOL,114.22376,22.54953,PRIMARY
FUK TAK EDUCATION SOCIETY PRIMARY SCHOOL,114.22521,22.54785,PRIMARY
SHA TAU KOK CENTRAL PRIMARY SCHOOL,114.2234,22.54658,PRIMARY
TA KU LING LING YING PUBLIC SCHOOL,114.14202,22.53728,PRIMARY
FUNG KAI INNOVATIVE SCHOOL,114.12815,22.51091,PRIMARY
FUNG KAI NO.1 PRIMARY SCHOOL,114.12761,22.51069,PRIMARY
LEE CHI TAT MEMORIAL SCHOOL,114.13111,22.50715,PRIMARY
SHEK WU HUI PUBLIC SCHOOL,114.13246,22.50436,PRIMARY
WAI CHOW PUBLIC SCHOOL (SHEUNG SHUI),114.135,22.50343,PRIMARY
TUNG KOON SCHOOL,114.13102,22.50282,PRIMARY
YUK YIN SCHOOL,114.13151,22.50272,PRIMARY
THE SALVATION ARMY SHEK WU SCHOOL (PRIMARY SECTION),114.13308,22.50265,PRIMARY
KAM TSIN VILLAGE HO TUNG SCHOOL,114.11148,22.50184,PRIMARY
"ALLIANCE PRIMARY SCHOOL, SHEUNG SHUI",114.14267,22.50095,PRIMARY
TUNG WAH GROUP OF HOSPITALS HONG KONG & KOWLOON ELECTRICAL APPLIANCES MERCHANTS ASSOCIATION LTD. SCHOOL,114.1323,22.5002,PRIMARY
HHCKLA BUDDHIST CHAN SHI WAN PRIMARY SCHOOL,114.1282,22.49925,PRIMARY
TUNG WAH GROUP OF HOSPITALS MA KAM CHAN MEMORIAL PRIMARY SCHOOL,114.13002,22.49883,PRIMARY
TUN YU SCHOOL,114.07711,22.49838,PRIMARY
PUI LING SCHOOL OF THE PRECIOUS BLOOD,114.14403,22.49748,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.12456,22.49683,PRIMARY
FANLING PUBLIC SCHOOL,114.13753,22.49661,PRIMARY
S.K.H. WING CHUN PRIMARY SCHOOL,114.13126,22.49659,PRIMARY
PENTECOSTAL GIN MAO SHENG PRIMARY SCHOOL,114.13846,22.49632,PRIMARY
TUNG WAH GROUP OF HOSPITALS MA KAM CHAN MEMORIAL PRIMARY SCHOOL,114.12404,22.4943,PRIMARY
TSANG MUI MILLENNIUM SCHOOL,114.12523,22.49373,PRIMARY
HHCKLA BUDDHIST WISDOM PRIMARY SCHOOL,114.12411,22.49372,PRIMARY
S.K.H. KA FUK WING CHUN PRIMARY SCHOOL,114.13495,22.49338,PRIMARY
FANLING GOVERNMENT PRIMARY SCHOOL,114.14303,22.49331,PRIMARY
HHCKLA BUDDHIST PO KWONG SCHOOL (PRIMARY SECTION),114.13941,22.48825,PRIMARY
HHCKLA BUDDHIST CHING KOK LIN ASSOCIATION SCHOOL,114.14206,22.48719,PRIMARY
FANLING ASSEMBLY OF GOD CHURCH PRIMARY SCHOOL,114.14224,22.48441,PRIMARY
FUNG KAI LIU YUN-SUM MEMORIAL SCHOOL,114.14,22.48391,PRIMARY
FONG SHU FOOK TONG FOUNDATION FONG SHU CHUEN PRIMARY SCHOOL,114.14116,22.48269,PRIMARY
"HONG CHI MORNINGLIGHT SCHOOL, YUEN LONG (PRIMARY SECTION)",114.04822,22.4824,PRIMARY
PENTECOSTAL YU LEUNG FAT PRIMARY SCHOOL,114.13865,22.48179,PRIMARY
HONG KONG AND MACAU LUTHERAN CHURCH WONG CHAN SOOK YING MEMORIAL SCHOOL,114.04954,22.47256,PRIMARY
SHUN TAK FRATERNAL ASSOCIATION WU MIEN TUEN PRIMARY SCHOOL,114.00069,22.47112,PRIMARY
THE EDUCATION UNIVERSITY OF HONG KONG JOCKEY CLUB PRIMARY SCHOOL,114.19449,22.46966,PRIMARY
YUEN LONG PUBLIC MIDDLE SCHOOL ALUMNI ASSOCIATION TANG YING YIP PRIMARY SCHOOL,114.00163,22.46819,PRIMARY
S.K.H. TIN SHUI WAI LING OI PRIMARY SCHOOL,114.00107,22.46787,PRIMARY
CHRISTIAN ALLIANCE S Y YEH MEMORIAL PRIMARY SCHOOL,113.99807,22.46768,PRIMARY
W F JOSEPH LEE PRIMARY SCHOOL,113.99614,22.46526,PRIMARY
HONG KONG STUDENT AID SOCIETY PRIMARY SCHOOL,114.00507,22.46513,PRIMARY
INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (PRIMARY SECTION),114.15372,22.46409,PRIMARY
XIANGGANG PUTONGHUA YANXISHE PRIMARY SCHOOL OF SCIENCE AND CREATIVITY,113.99851,22.46404,PRIMARY
